,Absolute Path,File Name,Food Type
0,./food-101/images/apple_pie\2967700.jpg,2967700.jpg,apple_pie
1,./food-101/images/apple_pie\1581853.jpg,1581853.jpg,apple_pie
2,./food-101/images/apple_pie\1375404.jpg,1375404.jpg,apple_pie
3,./food-101/images/apple_pie\2153869.jpg,2153869.jpg,apple_pie
4,./food-101/images/apple_pie\1626685.jpg,1626685.jpg,apple_pie
5,./food-101/images/apple_pie\250066.jpg,250066.jpg,apple_pie
6,./food-101/images/apple_pie\2705419.jpg,2705419.jpg,apple_pie
7,./food-101/images/apple_pie\2171324.jpg,2171324.jpg,apple_pie
8,./food-101/images/apple_pie\2486622.jpg,2486622.jpg,apple_pie
9,./food-101/images/apple_pie\2902847.jpg,2902847.jpg,apple_pie
10,./food-101/images/apple_pie\1397313.jpg,1397313.jpg,apple_pie
11,./food-101/images/apple_pie\1767333.jpg,1767333.jpg,apple_pie
12,./food-101/images/apple_pie\2819375.jpg,2819375.jpg,apple_pie
13,./food-101/images/apple_pie\2945592.jpg,2945592.jpg,apple_pie
14,./food-101/images/apple_pie\1421796.jpg,1421796.jpg,apple_pie
15,./food-101/images/apple_pie\3443899.jpg,3443899.jpg,apple_pie
16,./food-101/images/apple_pie\182745.jpg,182745.jpg,apple_pie
17,./food-101/images/apple_pie\1936913.jpg,1936913.jpg,apple_pie
18,./food-101/images/apple_pie\2658301.jpg,2658301.jpg,apple_pie
19,./food-101/images/apple_pie\1332030.jpg,1332030.jpg,apple_pie
20,./food-101/images/apple_pie\1818676.jpg,1818676.jpg,apple_pie
21,./food-101/images/apple_pie\1246552.jpg,1246552.jpg,apple_pie
22,./food-101/images/apple_pie\1280767.jpg,1280767.jpg,apple_pie
23,./food-101/images/apple_pie\902277.jpg,902277.jpg,apple_pie
24,./food-101/images/apple_pie\2023705.jpg,2023705.jpg,apple_pie
25,./food-101/images/apple_pie\2323355.jpg,2323355.jpg,apple_pie
26,./food-101/images/apple_pie\2582077.jpg,2582077.jpg,apple_pie
27,./food-101/images/apple_pie\750073.jpg,750073.jpg,apple_pie
28,./food-101/images/apple_pie\2345199.jpg,2345199.jpg,apple_pie
29,./food-101/images/apple_pie\2881877.jpg,2881877.jpg,apple_pie
30,./food-101/images/apple_pie\2379223.jpg,2379223.jpg,apple_pie
31,./food-101/images/apple_pie\486170.jpg,486170.jpg,apple_pie
32,./food-101/images/apple_pie\886518.jpg,886518.jpg,apple_pie
