,precision,recall,f1-score,support
apple_pie,0.3333333333333333,0.2361111111111111,0.2764227642276423,144.0
baby_back_ribs,0.6607142857142857,0.6132596685082873,0.6361031518624641,181.0
baklava,0.5714285714285714,0.5033112582781457,0.5352112676056338,151.0
beef_carpaccio,0.5647058823529412,0.6486486486486487,0.6037735849056604,148.0
beef_tartare,0.48951048951048953,0.4794520547945205,0.4844290657439446,146.0
beet_salad,0.5040650406504065,0.37349397590361444,0.4290657439446367,166.0
beignets,0.6686746987951807,0.7350993377483444,0.7003154574132492,151.0
bibimbap,0.7046979865771812,0.695364238410596,0.7,151.0
bread_pudding,0.3055555555555556,0.21153846153846154,0.25,156.0
breakfast_burrito,0.5205479452054794,0.49032258064516127,0.5049833887043189,155.0
bruschetta,0.42748091603053434,0.38095238095238093,0.4028776978417266,147.0
caesar_salad,0.6,0.7068965517241379,0.6490765171503958,174.0
cannoli,0.6392405063291139,0.63125,0.6352201257861635,160.0
caprese_salad,0.5177304964539007,0.437125748502994,0.474025974025974,167.0
carrot_cake,0.5704225352112676,0.5094339622641509,0.5382059800664452,159.0
ceviche,0.23626373626373626,0.3161764705882353,0.27044025157232704,136.0
cheese_plate,0.4864864864864865,0.5421686746987951,0.5128205128205128,166.0
cheesecake,0.5528455284552846,0.40963855421686746,0.47058823529411764,166.0
chicken_curry,0.4722222222222222,0.4121212121212121,0.4401294498381877,165.0
chicken_quesadilla,0.5116279069767442,0.5827814569536424,0.544891640866873,151.0
chicken_wings,0.5796178343949044,0.5652173913043478,0.5723270440251572,161.0
chocolate_cake,0.5766423357664233,0.5096774193548387,0.541095890410959,155.0
chocolate_mousse,0.31756756756756754,0.34558823529411764,0.33098591549295775,136.0
churros,0.6917808219178082,0.6273291925465838,0.6579804560260586,161.0
clam_chowder,0.6153846153846154,0.7088607594936709,0.6588235294117647,158.0
club_sandwich,0.5774647887323944,0.6259541984732825,0.6007326007326007,131.0
crab_cakes,0.3533834586466165,0.32413793103448274,0.3381294964028777,145.0
